iteration,feature_example,recommended_variant,reward,request_id,processed,count_a,count_b,rolling_reward
1,red,a,1.5,938fd101-b80f-47a8-924f-2646a0b5e5c3,1,1,0,1.5
2,red,b,1.0,89744e92-bb62-46ba-9de4-07775267033b,1,0,1,1.25
3,blue,a,1.0,7801acd3-ee59-4897-b66a-49b4b6e76e92,1,1,0,1.1666666666666667
4,red,b,1.0,13148cc4-c8fa-433c-a3c0-ea882d4d7ed7,1,0,1,1.125
5,blue,a,1.0,bc47f08f-0b85-45e7-9464-084cc839df4c,1,1,0,1.1
6,blue,b,1.5,b0ac30d9-ef35-439f-9302-d8609c83475c,1,0,1,1.1666666666666667
7,red,a,1.5,4293867c-c1f7-4087-8668-c1c33f09fb4d,1,1,0,1.2142857142857142
8,red,a,1.5,8d6f6283-0b86-4e45-a72e-d5e6ab2eb880,1,1,0,1.25
9,red,a,1.5,ef7f387b-3028-4f70-b859-837f1ef5e922,1,1,0,1.2777777777777777
10,blue,b,1.5,8fa43026-57e3-47d0-ae9d-2662d7a4b04f,1,0,1,1.3
11,blue,a,1.0,d2c10b24-95cb-44a3-849a-d67ffeed4620,1,1,0,1.2727272727272727
12,red,a,1.5,84e94b6c-ae58-475a-b780-15fb78ea0917,1,1,0,1.2916666666666667
13,red,a,1.5,4d21d20e-3bc6-47ad-844a-4d47b64ce213,1,1,0,1.3076923076923077
14,red,a,1.5,a95ba82c-b056-45e3-b850-9353803256fe,1,1,0,1.3214285714285714
15,blue,b,1.5,4df957c7-9be0-49bf-b9ed-ced7447daf91,1,0,1,1.3333333333333333
16,blue,b,1.5,790f9911-50ca-4ec3-b391-1029bb7e70bf,1,0,1,1.34375
17,red,b,1.0,e9c08abb-9c4e-4063-9bed-0598edea77f4,1,0,1,1.3235294117647058
18,blue,b,1.5,3ccc02a4-fa7f-4188-89ab-075eb409d1e7,1,0,1,1.3333333333333333
19,blue,a,1.0,c7606b7a-b163-4f48-a537-9806e00d09b4,1,1,0,1.3157894736842106
20,red,a,1.5,3a7ba508-85fd-4d8f-b838-856a6a3c7690,1,1,0,1.325
21,red,a,1.5,5c890e71-553a-4998-9feb-70e5bec9fdd5,1,1,0,1.3333333333333333
22,red,a,1.5,0407d828-ea5b-4187-883b-3f4abf134ea0,1,1,0,1.3409090909090908
23,blue,b,1.5,75ae5eae-6dc3-4a64-b6a1-c048312e8530,1,0,1,1.3478260869565217
24,blue,b,1.5,3923b833-e7cb-49fc-9794-2507a77220b7,1,0,1,1.3541666666666667
25,blue,b,1.5,608acda1-5fb9-466d-b51c-3ca9400d9131,1,0,1,1.36
26,red,b,1.0,953079d1-42c2-4467-88e5-319280fd4cfd,1,0,1,1.3461538461538463
27,blue,b,1.5,6666e5c6-a41e-476f-93e4-31856088e49d,1,0,1,1.3518518518518519
28,blue,b,1.5,c2be250c-6e8b-4080-b562-6a92fdf40f28,1,0,1,1.3571428571428572
29,blue,b,1.5,b7f7234e-338b-4d6b-99a1-682adaae0dba,1,0,1,1.3620689655172413
30,blue,a,1.0,fd9d7ffa-6578-4cc2-9f80-1ca9da5a2116,1,1,0,1.35
31,blue,b,1.5,8af775fd-6b8c-49ac-b230-7d97abcb99cd,1,0,1,1.3548387096774193
32,blue,b,1.5,94a71a81-3689-42fb-a256-7c0573261dc5,1,0,1,1.359375
33,red,b,1.0,dd3ea225-05f7-4857-90c8-c35734b8fe29,1,0,1,1.3484848484848484
34,red,a,1.5,0b2cf512-149a-4308-b758-639386bbf4c7,1,1,0,1.3529411764705883
